Page,10/19/2016,10/20/2016,10/21/2016,10/22/2016,10/23/2016,10/24/2016,10/25/2016,10/26/2016,10/27/2016,10/28/2016,10/29/2016,10/30/2016,10/31/2016,11/1/2016,11/2/2016,11/3/2016,11/4/2016,11/5/2016,11/6/2016,11/7/2016,11/8/2016,11/9/2016,11/10/2016,11/11/2016,11/12/2016,11/13/2016,11/14/2016,11/15/2016,11/16/2016,11/17/2016,11/18/2016,11/19/2016,11/20/2016,11/21/2016,11/22/2016,11/23/2016,11/24/2016,11/25/2016,11/26/2016,11/27/2016,11/28/2016,11/29/2016,11/30/2016,12/1/2016,12/2/2016,12/3/2016,12/4/2016,12/5/2016,12/6/2016,12/7/2016,12/8/2016,12/9/2016,12/10/2016,12/11/2016,12/12/2016,12/13/2016,12/14/2016,12/15/2016,12/16/2016,12/17/2016,12/18/2016,12/19/2016,12/20/2016,12/21/2016,12/22/2016,12/23/2016,12/24/2016,12/25/2016,12/26/2016,12/27/2016,12/28/2016,12/29/2016,12/30/2016,12/31/2016,1/1/2017,1/2/2017,1/3/2017,1/4/2017,1/5/2017,1/6/2017,1/7/2017,1/8/2017,1/9/2017,1/10/2017,1/11/2017,1/12/2017,1/13/2017,1/14/2017,1/15/2017,1/16/2017,1/17/2017,1/18/2017,1/19/2017,1/20/2017,1/21/2017,1/22/2017,1/23/2017,1/24/2017,1/25/2017,1/26/2017,1/27/2017,1/28/2017,1/29/2017,1/30/2017,1/31/2017,2/1/2017,2/2/2017,2/3/2017,2/4/2017,2/5/2017,2/6/2017,2/7/2017,2/8/2017,2/9/2017,2/10/2017,2/11/2017,2/12/2017,2/13/2017,2/14/2017,2/15/2017,2/16/2017,2/17/2017,2/18/2017,2/19/2017,2/20/2017,2/21/2017,2/22/2017,2/23/2017,2/24/2017,2/25/2017,2/26/2017,2/27/2017,2/28/2017,3/1/2017,3/2/2017,3/3/2017,3/4/2017,3/5/2017,3/6/2017,3/7/2017,3/8/2017,3/9/2017,3/10/2017,3/11/2017,3/12/2017,3/13/2017,3/14/2017,3/15/2017,3/16/2017,3/17/2017,3/18/2017,3/19/2017,3/20/2017,3/21/2017,3/22/2017,3/23/2017,3/24/2017,3/25/2017,3/26/2017,3/27/2017,3/28/2017,3/29/2017,3/30/2017,3/31/2017,4/1/2017,4/2/2017,4/3/2017,4/4/2017,4/5/2017,4/6/2017,4/7/2017,4/8/2017,4/9/2017,4/10/2017,4/11/2017,4/12/2017,4/13/2017,4/14/2017,4/15/2017,4/16/2017,4/17/2017,4/18/2017,4/19/2017,4/20/2017,4/21/2017,4/22/2017,4/23/2017,4/24/2017,4/25/2017,4/26/2017,4/27/2017,4/28/2017,4/29/2017,4/30/2017,5/1/2017,5/2/2017,5/3/2017,5/4/2017,5/5/2017,5/6/2017,5/7/2017,5/8/2017,5/9/2017,5/10/2017,5/11/2017,5/12/2017,5/13/2017,5/14/2017,5/15/2017,5/16/2017,5/17/2017,5/18/2017,5/19/2017,5/20/2017,5/21/2017,5/22/2017,5/23/2017,5/24/2017,5/25/2017,5/26/2017,5/27/2017,5/28/2017,5/29/2017,5/30/2017,5/31/2017,6/1/2017,6/2/2017,6/3/2017,6/4/2017,6/5/2017,6/6/2017,6/7/2017,6/8/2017,6/9/2017,6/10/2017,6/11/2017,6/12/2017,6/13/2017,6/14/2017,6/15/2017,6/16/2017,6/17/2017,6/18/2017,6/19/2017,6/20/2017,6/21/2017,6/22/2017,6/23/2017,6/24/2017,6/25/2017,6/26/2017,6/27/2017,6/28/2017,6/29/2017,6/30/2017,7/1/2017,7/2/2017,7/3/2017,7/4/2017,7/5/2017,7/6/2017,7/7/2017,7/8/2017,7/9/2017,7/10/2017,7/11/2017,7/12/2017,7/13/2017,7/14/2017,7/15/2017,7/16/2017,7/17/2017,7/18/2017,7/19/2017,7/20/2017,7/21/2017,7/22/2017,7/23/2017,7/24/2017,7/25/2017,7/26/2017,7/27/2017,7/28/2017,7/29/2017,7/30/2017,7/31/2017,8/1/2017,8/2/2017,8/3/2017,8/4/2017,8/5/2017,8/6/2017,8/7/2017,8/8/2017,8/9/2017,8/10/2017,8/11/2017,8/12/2017,8/13/2017,8/14/2017,8/15/2017,8/16/2017,8/17/2017,8/18/2017,8/19/2017,8/20/2017,8/21/2017,8/22/2017,8/23/2017,8/24/2017,8/25/2017,8/26/2017,8/27/2017,8/28/2017,8/29/2017,8/30/2017,8/31/2017,9/1/2017,9/2/2017,9/3/2017,9/4/2017,9/5/2017,9/6/2017,9/7/2017,9/8/2017,9/9/2017,9/10/2017,9/11/2017,9/12/2017,9/13/2017,9/14/2017,9/15/2017,9/16/2017,9/17/2017,9/18/2017,9/19/2017,9/20/2017,9/21/2017,9/22/2017,9/23/2017,9/24/2017,9/25/2017,9/26/2017,9/27/2017,9/28/2017,9/29/2017,9/30/2017,10/1/2017,10/2/2017,10/3/2017,10/4/2017,10/5/2017,10/6/2017,10/7/2017,10/8/2017,10/9/2017,10/10/2017,10/11/2017,10/12/2017,10/13/2017,10/14/2017,10/15/2017,10/16/2017,10/17/2017,10/18/2017
www.usfca.edu/arts-sciences/undergraduate-programs/catholic-studies-social-thought/faculty,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,10,2,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,1,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,2,0,2,2,0,0,1,2,6,0,0,0,0,0
www.usfca.edu/artssciences/undergraduate-programs/chemistry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/chemistry,31,0,30,40,9,0,29,0,26,56,0,0,58,0,0,37,38,58,0,74,0,19,0,30,0,25,17,29,46,37,54,0,0,36,0,42,5,0,12,0,15,20,54,23,0,0,28,11,30,25,14,0,13,10,15,0,40,52,28,0,21,52,16,26,0,12,0,6,16,16,14,19,10,7,18,0,36,17,21,38,36,32,22,36,42,25,0,11,15,34,24,0,11,6,28,9,13,0,17,48,22,7,24,40,0,36,15,44,20,16,23,22,52,18,10,12,22,0,19,64,0,15,20,9,22,22,0,0,0,14,13,0,0,0,30,40,9,44,16,16,20,15,13,12,14,46,36,34,18,11,10,27,34,32,24,16,38,0,12,54,0,22,12,0,10,10,68,62,21,44,28,12,12,74,0,38,17,9,28,0,54,25,70,44,21,19,11,22,0,38,14,36,12,0,21,38,9,32,14,8,28,0,17,10,72,9,11,12,22,17,42,24,27,28,8,13,10,22,9,32,0,7,20,23,24,12,0,8,12,48,48,15,10,16,10,0,30,9,0,54,12,14,10,28,52,28,12,28,0,10,0,20,17,5,5,24,0,14,19,15,0,24,7,28,20,20,0,22,34,14,0,0,20,10,27,16,3,22,0,36,13,19,24,0,18,0,22,31,21,0,0,0,20,32,38,10,20,0,46,9,48,52,0,48,22,19,40,41,34,37,0,7,17,23,30,40,0,32,0,0,32,22,13,9,16,0,32,22,0,32,30,24,24,24,26,25,0,31,18,36,38,13,44,0,0,17,26,92,52,0,28,14,25,23,20,10,15,32,0,56,12,19,20,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/chemistry/facilities,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,0,0,0,0,2,0,0,0,3,0,0,0,2,8,0,0,0,0,2,4,6,2,0,2,0,0,0,0,0,0,1,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,1,0,0,0,0,1,3,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,1,0,4,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,6,0,4,1,1,0,2,4,1,0,0,8,0,6,1,2,2,0,1,6,1,0,0,0,0,2,0,2,1,1,0,0,0,0,2,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/chemistry/faculty,10,0,0,2,0,14,7,16,0,0,2,6,10,5,6,9,1,0,3,8,3,2,0,0,8,2,4,12,0,30,0,2,8,12,6,0,2,4,1,2,4,52,0,8,10,3,8,6,0,0,0,0,0,1,0,3,4,0,0,16,0,20,4,3,4,1,16,2,2,3,6,0,1,2,14,1,2,4,5,6,1,0,12,0,0,0,3,3,0,6,0,0,0,0,6,0,19,3,0,3,8,4,3,11,6,6,0,6,1,6,10,0,3,0,0,0,4,4,4,0,5,4,3,6,1,10,4,7,16,2,1,0,22,2,0,6,0,0,10,1,0,8,3,4,0,18,6,12,0,8,8,0,26,32,34,19,3,30,0,8,14,0,0,22,0,4,20,17,16,4,7,6,24,0,17,0,4,8,4,4,0,16,13,6,0,0,0,10,24,7,4,1,7,1,16,24,10,7,3,2,8,26,12,10,20,6,2,1,1,1,8,7,4,6,6,2,0,9,4,9,4,18,0,3,3,2,6,2,3,10,4,2,9,22,6,6,3,4,14,6,8,4,10,16,20,10,4,6,0,5,7,3,0,1,1,20,6,0,54,24,10,6,2,7,1,4,6,0,4,0,0,7,8,4,6,10,8,3,22,44,0,14,4,4,4,0,11,31,6,0,0,16,34,20,13,12,16,0,24,5,11,24,12,10,10,8,0,31,48,29,0,4,3,5,12,16,7,13,6,4,12,16,10,0,8,2,8,32,20,0,0,12,12,3,22,8,24,17,6,26,9,12,30,10,5,16,0,19,13,18,3,7,12,0,0,0,3,12,1,19,4,6,8,56,0
www.usfca.edu/arts-sciences/undergraduate-programs/chemistry/majors-minors,0,3,2,0,0,12,18,0,18,26,11,0,9,0,2,15,1,2,1,8,2,2,6,2,0,1,0,8,8,4,8,2,0,0,3,0,0,4,0,0,2,0,4,5,0,6,0,0,4,4,0,0,4,4,0,1,0,2,0,0,0,2,4,3,0,1,0,0,4,4,2,6,2,0,2,2,4,1,8,6,3,3,1,10,2,0,8,0,1,6,0,4,2,2,10,3,8,8,1,8,2,0,2,4,0,0,4,6,1,0,2,4,0,0,0,5,0,5,2,4,4,0,0,6,4,6,7,3,0,3,1,4,3,0,5,0,6,6,1,0,4,0,5,0,1,3,2,0,7,6,0,0,2,4,12,2,4,0,0,12,0,4,0,2,3,2,5,0,6,9,10,16,2,9,0,8,2,0,1,8,4,2,4,8,7,2,0,0,0,9,3,20,1,6,6,0,4,2,12,0,6,7,0,0,8,12,0,0,6,12,0,12,0,0,4,3,2,1,2,8,0,4,2,6,0,0,3,0,0,8,5,1,4,2,0,5,12,1,4,2,4,2,0,0,0,0,0,2,0,2,0,4,2,0,4,0,1,6,0,2,2,0,0,2,1,4,0,3,0,0,0,1,3,2,2,2,0,0,2,2,1,2,4,0,2,5,2,3,2,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,2,0,0,4,0,6,6,2,0,4,6,0,1,0,0,0,2,2,2,1,6,4,4,1,4,4,6,4,0,3,2,2,2,8,0,1,6,4,10,0,2,3,2,8,0,1,6,3,0,0,6,2,0,0,4,4,1,2,1,1,0
www.usfca.edu/arts-sciences/undergraduate-programs/chemistry/our-alumni,1,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,1,0,0,4,4,3,1,0,0,2,0,2,2,4,2,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,4,0,1,0,0,0,6,0,0,2,1,0,2,0,6,0,0,0,0,0,8,2,4,0,0,1,0,0,4,2,1,2,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,4,4,4,4,3,2,1,0,0,2,0,4,3,1,2,0,0,1,0,3,2,0,2,0,0,2,0,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/chemistry/research,2,0,0,3,0,1,1,1,0,0,0,0,1,0,2,0,0,1,1,4,0,0,1,2,0,1,0,1,1,1,0,0,0,2,1,0,0,3,1,0,0,1,0,2,3,0,1,3,0,1,0,0,0,2,0,0,0,10,0,1,4,0,6,0,1,0,2,0,0,2,0,1,0,0,0,2,0,0,0,2,0,2,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,2,0,4,0,4,0,2,2,0,4,8,1,0,0,0,0,4,4,2,0,0,1,0,0,1,1,0,0,0,1,1,6,1,1,0,0,1,0,2,0,0,4,5,0,2,1,0,0,2,3,0,4,2,6,0,1,4,0,4,0,2,14,0,1,8,6,1,0,2,1,0,0,8,0,2,2,2,0,3,0,2,4,0,0,4,0,0,7,14,1,0,10,0,0,0,2,0,0,0,2,2,0,6,0,0,2,0,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,7,0,1,0,0,3,2,0,3,0,0,2,2,0,0,0,2,1,2,6,0,1,0,0,2,0,10,1,0,0,0,0,0,0,7,1,0,2,0,8,1,2,0,4,0,0,0,0,0,0,0,1,2,1,0,3,0,6,0,0,2,0,0,3,1,1,0,0,6,2,4,1,4,0,0,1,1,1,0,6,0,1,0,0,2,5,2,0,2,0,0,0,6,2,0,0,2,0,0,0,0,1,2,1,3,2,12,1,1,0,0,2,0,0,0,3,0,4,0,4,0,0,0,0,8,2,3,0,2,1,0,3,1,0,0,0,0,1,1,6,0
www.usfca.edu/arts-sciences/undergraduate-programs/chemisty/faculty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/chicano-latino-studies,0,3,1,1,0,14,0,1,6,1,0,1,0,2,1,4,8,0,6,2,12,0,4,4,1,2,8,3,10,7,0,0,0,2,2,4,1,2,1,0,0,1,1,1,2,1,0,0,12,22,6,0,0,0,3,0,1,2,1,2,1,0,2,4,0,0,2,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,1,0,8,1,1,8,0,4,1,0,8,3,8,0,0,2,2,2,10,4,4,1,5,2,5,2,5,0,6,0,0,8,2,4,8,0,6,1,2,0,3,6,0,4,0,1,3,4,0,0,0,0,4,2,1,8,0,2,0,0,6,2,0,4,2,6,0,4,3,1,0,2,0,4,2,5,0,0,1,2,0,4,4,14,3,2,1,6,4,8,0,2,0,1,8,0,0,0,7,1,0,0,2,6,6,6,2,0,2,0,6,0,1,0,0,2,3,4,1,4,2,1,10,2,2,0,1,0,0,0,4,1,4,1,0,2,0,1,1,0,2,2,0,2,0,2,2,0,0,2,6,3,5,5,2,1,1,0,4,0,0,0,0,4,1,4,1,2,4,1,0,4,0,0,0,0,1,2,0,2,2,4,2,0,2,1,2,1,2,0,1,0,3,0,4,6,2,1,0,1,0,2,0,2,0,2,5,3,2,4,4,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,2,0,0,2,4,4,0,2,2,1,5,4,0,0,4,0,2,0,0,1,0,0,12,1,4,2,0,6,1,2,4,0,10,2,4,2,14,7,0,4,0,0,4,1,2,3,0,0,0,0,8,2,0
www.usfca.edu/arts-sciences/undergraduate-programs/chicano-latino-studies/faculty,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,2,8,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,1,0,0,2,0,0,0,0,1,0
www.usfca.edu/arts-sciences/undergraduate-programs/child-and-youth-studies/faculty,0,0,0,0,2,4,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,2,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,16,42,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,8,0,1,0,0,4,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,4,2,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/child-youth-studies,22,10,16,0,6,8,0,14,11,12,4,5,5,16,15,16,0,0,7,15,14,8,8,14,5,12,88,44,0,14,6,6,2,0,3,8,4,6,14,2,6,10,24,0,6,4,2,4,12,9,1,4,6,2,2,1,3,8,0,2,3,1,4,2,3,0,6,6,6,3,1,2,4,4,2,5,10,14,5,4,4,3,14,5,2,2,5,4,5,12,8,2,2,14,1,7,11,0,14,7,2,2,4,2,1,5,8,4,8,3,9,2,18,10,0,6,2,6,22,10,9,8,1,4,4,10,9,4,6,1,3,6,12,4,0,12,0,0,0,0,0,0,5,10,0,0,7,6,6,4,6,6,9,8,8,13,16,3,5,14,16,0,4,8,3,2,8,0,8,7,4,2,14,15,0,24,22,4,5,9,17,0,12,8,5,12,12,6,14,0,8,8,2,0,8,9,16,0,10,4,6,20,8,12,6,10,0,4,6,0,10,3,4,1,10,6,6,14,14,2,10,0,4,4,3,1,0,16,0,8,3,7,5,5,0,14,10,8,3,8,0,2,1,10,6,10,6,12,0,3,1,14,2,4,2,1,0,6,1,7,4,4,0,0,4,4,24,4,2,0,6,0,12,8,6,6,5,14,6,3,14,16,4,8,0,10,2,7,2,0,0,2,0,1,0,9,2,3,0,0,0,5,14,2,5,9,0,10,0,11,0,6,1,0,12,12,6,2,5,4,2,8,1,8,14,0,3,12,14,5,11,12,0,3,0,15,18,0,5,2,0,12,0,0,15,0,4,0,8,0,20,13,0,0,4,5,16,0,8,15,5,0,18,9,0
www.usfca.edu/arts-sciences/undergraduate-programs/classical-studies/minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
